BEA Service,API BEA Service,BEA_Detail_2012,BEA_Detail_2017
Maintenance and repair services n.i.e.,MaintenanceAndRepairNie,811100,811100
Maintenance and repair services n.i.e.,MaintenanceAndRepairNie,811200,811200
Maintenance and repair services n.i.e.,MaintenanceAndRepairNie,811300,811300
Maintenance and repair services n.i.e.,MaintenanceAndRepairNie,811400,811400
Transport,Transport,481000,481000
Transport,Transport,492000,492000
Insurance services,Insurance,524113,524113
Insurance services,Insurance,5241XX,5241XX
Insurance services,Insurance,524200,524200
Financial services,Financial,523A00,523A00
Financial services,Financial,523900,523900
Financial services,Financial,52A000,52A000
Financial services,Financial,522A00,522A00
"Telecommunications, computer, and information services",TelecomCompAndInfo,517110,517110
"Telecommunications, computer, and information services",TelecomCompAndInfo,517210,517210
"Telecommunications, computer, and information services",TelecomCompAndInfo,517A00,517A00
"Telecommunications, computer, and information services",TelecomCompAndInfo,541511,541511
"Telecommunications, computer, and information services",TelecomCompAndInfo,541512,541512
"Telecommunications, computer, and information services",TelecomCompAndInfo,54151A,54151A
"Telecommunications, computer, and information services",TelecomCompAndInfo,511200,511200
"Telecommunications, computer, and information services",TelecomCompAndInfo,518200,518200
"Telecommunications, computer, and information services",TelecomCompAndInfo,511110,511110
"Telecommunications, computer, and information services",TelecomCompAndInfo,511120,511120
"Telecommunications, computer, and information services",TelecomCompAndInfo,511130,511130
"Telecommunications, computer, and information services",TelecomCompAndInfo,5111A0,5111A0
"Telecommunications, computer, and information services",TelecomCompAndInfo,519130,519130
"Telecommunications, computer, and information services",TelecomCompAndInfo,5191A0,5191A0
Professional and management consulting services,ProfMgmtConsult,541800,541800
Professional and management consulting services,ProfMgmtConsult,561300,561300
Professional and management consulting services,ProfMgmtConsult,561700,561700
Professional and management consulting services,ProfMgmtConsult,561100,561100
Professional and management consulting services,ProfMgmtConsult,561200,561200
Professional and management consulting services,ProfMgmtConsult,561400,561400
Professional and management consulting services,ProfMgmtConsult,561500,561500
Professional and management consulting services,ProfMgmtConsult,561600,561600
Professional and management consulting services,ProfMgmtConsult,561900,561900
"Legal, accounting, management consulting, and public relations services",LegalAccountMgmtConsAndPubRel,541100,541100
"Legal, accounting, management consulting, and public relations services",LegalAccountMgmtConsAndPubRel,541200,541200
"Technical, trade-related, and other business services",TechTradeRelatedOth,541300,541300
"Technical, trade-related, and other business services",TechTradeRelatedOth,541610,541610
"Technical, trade-related, and other business services",TechTradeRelatedOth,5416A0,5416A0
"Technical, trade-related, and other business services",TechTradeRelatedOth,541400,541400
"Technical, trade-related, and other business services",TechTradeRelatedOth,5419A0,5419A0
"Technical, trade-related, and other business services",TechTradeRelatedOth,541920,541920
"Technical, trade-related, and other business services",TechTradeRelatedOth,541940,541940
"Technical, trade-related, and other business services",TechTradeRelatedOth,541700,541700
"Technical, trade-related, and other business services",TechTradeRelatedOth,562111,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,562HAZ,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,562212,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,562213,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,562910,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,562920,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,562OTH,562000
"Technical, trade-related, and other business services",TechTradeRelatedOth,213111,213111
"Technical, trade-related, and other business services",TechTradeRelatedOth,21311A,21311A
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,711100,711100
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,711200,711200
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,711A00,711A00
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,711500,711500
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,712000,712000
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,512100,512100
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,512200,512200
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,611100,611100
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,611A00,611A00
"Personal, cultural, and recreational services",PersonalCulturalAndRecreational,611B00,611B00
Government goods and services n.i.e.,GovtGoodsAndServicesNie,491000,491000
Government goods and services n.i.e.,GovtGoodsAndServicesNie,S00101,S00101
Government goods and services n.i.e.,GovtGoodsAndServicesNie,S00102,S00102
